workout name,workout settings,date,weight kg,sets,reps
shoulder press,6,2024-08-02,25,2,10
pec fly,5,2024-08-02,59,2,10
rear delt,2,2024-08-02,39,2,10
arm curl,5,2024-08-02,20,2,10
dumbell,,2024-08-02,14,2,10
conv chest press,6,2024-08-02,34,2,10
lateral raise,5,2024-08-02,29,2,10
triceps extension,6,2024-08-02,36,2,10
chin asist,,2024-08-02,1000/32,2,10
leg press,3,2024-08-02,39,2,10
lat pulldown,,2024-08-02,32,2,10
conv shoulder press,6,2024-08-02,15,2,10
chest press,6,2024-08-04,34,2,10
seated row,"s 5, c 6",2024-08-04,41,2,10
seated dip,6,2024-08-04,41,2,10
div lat pulldown,,2024-08-04,36,2,10
shoulder press,6,2024-08-04,25,2,10
pec fly,5,2024-08-04,59,2,10
rear delt,2,2024-08-04,39,2,10
arm curl,5,2024-08-04,20,2,10
dumbell,,2024-08-04,14,2,10
conv chest press,6,2024-08-04,34,2,10
lateral raise,5,2024-08-04,29,2,10
triceps extension,6,2024-08-04,36,2,10
chin asist,,2024-08-04,1000/32,2,10
leg press,3,2024-08-04,39,2,10
lat pulldown,,2024-08-04,32,2,10
conv shoulder press,6,2024-08-04,15,2,10
chest press,6,2024-08-08,34,2,10
seated row,"s 5, c 6",2024-08-08,41,2,10
seated dip,6,2024-08-08,41,2,10
div lat pulldown,,2024-08-08,36,2,10
shoulder press,6,2024-08-08,25,2,10
pec fly,5,2024-08-08,59,2,10
rear delt,2,2024-08-08,39,2,10
arm curl,5,2024-08-08,20,2,10
dumbell,,2024-08-08,14,2,10
conv chest press,6,2024-08-08,34,2,10
lateral raise,5,2024-08-08,29,2,10
triceps extension,6,2024-08-08,36,2,10
chin asist,,2024-08-08,1000/32,2,10
leg press,3,2024-08-08,39,2,10
lat pulldown,,2024-08-08,32,2,10
conv shoulder press,6,2024-08-08,15,2,10
chest press,6,2024-08-11,36,2,10
seated row,"s 5, c 6",2024-08-11,43,2,10
seated dip,6,2024-08-11,43,2,10
div lat pulldown,,2024-08-11,38,2,10
shoulder press,6,2024-08-11,27,2,10
pec fly,5,2024-08-11,66,2,10
rear delt,2,2024-08-11,39,2,10
arm curl,5,2024-08-11,22,2,10
dumbell,,2024-08-11,14,2,10
conv chest press,6,2024-08-11,36,2,10
lateral raise,5,2024-08-11,31,2,10
triceps extension,6,2024-08-11,38,2,10
chin asist,,2024-08-11,1000/32,2,10
leg press,3,2024-08-11,39,2,10
lat pulldown,,2024-08-11,32,2,10
conv shoulder press,6,2024-08-11,15,2,10
chest press,6,2024-08-15,36,2,10
seated row,"s 5, c 6",2024-08-15,43,2,10
seated dip,6,2024-08-15,43,2,10
div lat pulldown,,2024-08-15,38,2,10
shoulder press,6,2024-08-15,27,2,10
pec fly,5,2024-08-15,66,2,10
rear delt,2,2024-08-15,39,2,10
arm curl,5,2024-08-15,22,2,10
dumbell,,2024-08-15,14,2,10
conv chest press,6,2024-08-15,36,2,10
lateral raise,5,2024-08-15,31,2,10
triceps extension,6,2024-08-15,38,2,10
chin asist,,2024-08-15,1000/32,2,10
leg press,3,2024-08-15,39,2,10
lat pulldown,,2024-08-15,32,2,10
conv shoulder press,6,2024-08-15,15,2,10
chest press,6,2024-10-11,36,2,10
seated row,"s 5, c 6",2024-10-11,43,2,10
seated dip,6,2024-10-11,43,2,10
div lat pulldown,,2024-10-11,38,2,10
shoulder press,6,2024-10-11,27,2,10
pec fly,5,2024-10-11,66,2,10
rear delt,2,2024-10-11,39,2,10
arm curl,5,2024-10-11,23,2,10
dumbell,,2024-10-11,14,2,10
conv chest press,6,2024-10-11,36,2,10
lateral raise,5,2024-10-11,31,2,10
triceps extension,6,2024-10-11,38,2,10
chin asist,,2024-10-11,1000/32,2,10
leg press,3,2024-10-11,39,2,10
lat pulldown,,2024-10-11,32,2,10
conv shoulder press,6,2024-10-11,15,2,10
chest press,6,2024-10-17,39,2,10
seated row,"s 5, c 6",2024-10-17,45,2,10
seated dip,6,2024-10-17,45,2,10
div lat pulldown,,2024-10-17,38,2,10
shoulder press,6,2024-10-17,27,2,10
pec fly,5,2024-10-17,66,2,10
rear delt,2,2024-10-17,39,2,10
arm curl,5,2024-10-17,23,2,10
dumbell,,2024-10-17,14,2,10
conv chest press,6,2024-10-17,39,2,10
lateral raise,5,2024-10-17,32,2,10
triceps extension,6,2024-10-17,38,2,10
chin asist,,2024-10-17,1000/32,2,10
leg press,3,2024-10-17,39,2,10
lat pulldown,,2024-10-17,32,2,10
conv shoulder press,6,2024-10-17,15,2,10
chest press,6,2024-10-22,39,2,10
seated row,"s 5, c 6",2024-10-22,45,2,10
seated dip,6,2024-10-22,45,2,10
div lat pulldown,,2024-10-22,41,2,10
shoulder press,6,2024-10-22,27,2,10
pec fly,5,2024-10-22,66,2,10
rear delt,2,2024-10-22,39,2,10
arm curl,5,2024-10-22,23,2,10
dumbell,,2024-10-22,14,2,10
conv chest press,6,2024-10-22,39,2,10
lateral raise,5,2024-10-22,32,2,10
triceps extension,6,2024-10-22,41,2,10
chin asist,,2024-10-22,1000/32,2,10
leg press,3,2024-10-22,39,2,10
lat pulldown,,2024-10-22,32,2,10
conv shoulder press,6,2024-10-22,15,2,10
chest press,6,2024-10-27,39,2,10
seated row,"s 5, c 6",2024-10-27,45,2,10
seated dip,6,2024-10-27,45,2,10
div lat pulldown,,2024-10-27,41,2,10
shoulder press,6,2024-10-27,27,2,10
pec fly,5,2024-10-27,66,2,10
rear delt,2,2024-10-27,39,2,10
arm curl,5,2024-10-27,23,2,10
dumbell,,2024-10-27,14,2,10
conv chest press,6,2024-10-27,39,2,10
lateral raise,5,2024-10-27,32,2,10
triceps extension,6,2024-10-27,41,2,10
chin asist,,2024-10-27,1000/32,2,10
leg press,3,2024-10-27,39,2,10
lat pulldown,,2024-10-27,32,2,10
conv shoulder press,6,2024-10-27,15,2,10
chest press,6,2024-10-31,41,2,10
seated row,"s 5, c 6",2024-10-31,47,2,10
seated dip,6,2024-10-31,47,2,10
div lat pulldown,,2024-10-31,43,2,10
shoulder press,6,2024-10-31,29,2,10
pec fly,5,2024-10-31,73,2,10
rear delt,2,2024-10-31,39,2,10
arm curl,5,2024-10-31,25,2,10
dumbell,,2024-10-31,15,2,10
conv chest press,6,2024-10-31,41,2,10
lateral raise,5,2024-10-31,34,2,10
triceps extension,6,2024-10-31,43,2,10
chin asist,,2024-10-31,1000/32,2,10
leg press,3,2024-10-31,39,2,10
lat pulldown,,2024-10-31,32,2,10
conv shoulder press,6,2024-10-31,15,2,10
chest press,6,2024-11-05,41,2,10
seated row,"s 5, c 6",2024-11-05,47,2,10
seated dip,6,2024-11-05,47,2,10
div lat pulldown,,2024-11-05,43,2,10
shoulder press,6,2024-11-05,29,2,10
pec fly,5,2024-11-05,73,2,10
rear delt,2,2024-11-05,39,2,10
arm curl,5,2024-11-05,25,2,10
dumbell,,2024-11-05,15,2,10
conv chest press,6,2024-11-05,41,2,10
lateral raise,5,2024-11-05,34,2,10
triceps extension,6,2024-11-05,43,2,10
chin asist,,2024-11-05,1000/32,2,10
leg press,3,2024-11-05,39,2,10
lat pulldown,,2024-11-05,32,2,10
conv shoulder press,6,2024-11-05,15,2,10
chest press,6,2024-11-09,41,2,10
seated row,"s 5, c 6",2024-11-09,47,2,10
seated dip,6,2024-11-09,47,2,10
div lat pulldown,,2024-11-09,43,2,10
shoulder press,6,2024-11-09,29,2,10
pec fly,5,2024-11-09,73,2,10
rear delt,2,2024-11-09,42,2,10
arm curl,5,2024-11-09,25,2,10
dumbell,,2024-11-09,15,2,10
conv chest press,6,2024-11-09,41,2,10
lateral raise,5,2024-11-09,34,2,10
triceps extension,6,2024-11-09,43,2,10
chin asist,,2024-11-09,1000/32,2,10
leg press,3,2024-11-09,39,2,10
lat pulldown,,2024-11-09,32,2,10
conv shoulder press,6,2024-11-09,15,2,10
chest press,6,2024-11-14,43,2,10
seated row,"s 5, c 6",2024-11-14,47,2,10
seated dip,6,2024-11-14,50,2,10
div lat pulldown,,2024-11-14,45,2,10
shoulder press,6,2024-11-14,29,2,10
pec fly,5,2024-11-14,73,2,10
rear delt,2,2024-11-14,42,2,10
arm curl,5,2024-11-14,25,2,10
dumbell,,2024-11-14,15,2,10
conv chest press,6,2024-11-14,43,2,10
lateral raise,5,2024-11-14,34,2,10
triceps extension,6,2024-11-14,43,2,10
chin asist,,2024-11-14,1000/32,2,10
leg press,3,2024-11-14,39,2,10
lat pulldown,,2024-11-14,32,2,10
conv shoulder press,6,2024-11-14,15,2,10
chest press,6,2024-11-20,43,2,10
seated row,"s 5, c 6",2024-11-20,47,2,10
seated dip,6,2024-11-20,50,2,10
div lat pulldown,,2024-11-20,45,2,10
shoulder press,6,2024-11-20,29,2,10
pec fly,5,2024-11-20,73,2,10
rear delt,2,2024-11-20,45,2,10
arm curl,5,2024-11-20,25,2,10
dumbell,,2024-11-20,15,2,10
conv chest press,6,2024-11-20,43,2,10
lateral raise,5,2024-11-20,36,2,10
triceps extension,6,2024-11-20,43,2,10
chin asist,,2024-11-20,1000/32,2,10
leg press,3,2024-11-20,39,2,10
lat pulldown,,2024-11-20,32,2,10
conv shoulder press,6,2024-11-20,15,2,10
chest press,6,2024-11-24,43,2,10
seated row,"s 5, c 6",2024-11-24,47,2,10
seated dip,6,2024-11-24,52,2,10
div lat pulldown,,2024-11-24,45,2,10
shoulder press,6,2024-11-24,31,2,10
pec fly,5,2024-11-24,73,2,10
rear delt,2,2024-11-24,45,2,10
arm curl,5,2024-11-24,27,2,10
dumbell,,2024-11-24,15,2,10
conv chest press,6,2024-11-24,43,2,10
lateral raise,5,2024-11-24,36,2,10
triceps extension,6,2024-11-24,43,2,10
chin asist,,2024-11-24,1000/32,2,10
leg press,3,2024-11-24,39,2,10
lat pulldown,,2024-11-24,32,2,10
conv shoulder press,6,2024-11-24,15,2,10
chest press,6,2024-11-28,43,2,10
seated row,"s 5, c 6",2024-11-28,47,2,10
seated dip,6,2024-11-28,52,2,10
div lat pulldown,,2024-11-28,45,2,10
shoulder press,6,2024-11-28,31,2,10
pec fly,5,2024-11-28,73,2,10
rear delt,2,2024-11-28,45,2,10
arm curl,5,2024-11-28,27,2,10
dumbell,,2024-11-28,15,2,10
conv chest press,6,2024-11-28,43,2,10
lateral raise,5,2024-11-28,36,2,10
triceps extension,6,2024-11-28,43,2,10
chin asist,,2024-11-28,1000/32,2,10
leg press,3,2024-11-28,39,2,10
lat pulldown,,2024-11-28,32,2,10
conv shoulder press,6,2024-11-28,15,2,10
chest press,6,2024-12-11,43,2,10
seated row,"s 5, c 6",2024-12-11,47,2,10
seated dip,6,2024-12-11,52,2,10
div lat pulldown,,2024-12-11,45,2,10
shoulder press,6,2024-12-11,31,2,10
pec fly,5,2024-12-11,73,2,10
rear delt,2,2024-12-11,45,2,10
arm curl,5,2024-12-11,27,2,10
dumbell,,2024-12-11,15,2,10
conv chest press,6,2024-12-11,43,2,10
lateral raise,5,2024-12-11,36,2,10
triceps extension,6,2024-12-11,43,2,10
chin asist,,2024-12-11,1000/32,2,10
leg press,3,2024-12-11,39,2,10
lat pulldown,,2024-12-11,32,2,10
conv shoulder press,6,2024-12-11,15,2,10
chest press,6,2024-12-17,43,2,10
seated row,"s 5, c 6",2024-12-17,47,2,10
seated dip,6,2024-12-17,52,2,10
div lat pulldown,,2024-12-17,45,2,10
shoulder press,6,2024-12-17,31,2,10
pec fly,5,2024-12-17,73,2,10
rear delt,2,2024-12-17,45,2,10
arm curl,5,2024-12-17,27,2,10
dumbell,,2024-12-17,15,2,10
conv chest press,6,2024-12-17,43,2,10
lateral raise,5,2024-12-17,36,2,10
triceps extension,6,2024-12-17,43,2,10
chin asist,,2024-12-17,1000/32,2,10
leg press,3,2024-12-17,39,2,10
lat pulldown,,2024-12-17,32,2,10
conv shoulder press,6,2024-12-17,15,2,10
chest press,6,2025-06-22,22,2,10
seated row,"s 5, c 6",2025-06-22,32,2,10
seated dip,6,2025-06-22,28,2,10
div lat pulldown,,2025-06-22,27,2,10
shoulder press,6,2025-06-22,14,2,10
pec fly,5,2025-06-22,39,2,10
rear delt,2,2025-06-22,25,2,10
arm curl,5,2025-06-22,14,2,10
dumbell,,2025-06-22,10,2,10
conv chest press,6,2025-06-22,22,2,10
lateral raise,5,2025-06-22,18,2,10
triceps extension,6,2025-06-22,27,2,10
chin asist,,2025-06-22,1000/50,2,10
leg press,3,2025-06-22,39,2,10
lat pulldown,,2025-06-22,32,2,10
conv shoulder press,6,2025-06-22,15,2,10
chest press,6,2025-07-05,25,2,10
seated row,"s 5, c 6",2025-07-05,32,2,10
seated dip,6,2025-07-05,32,2,10
div lat pulldown,,2025-07-05,27,2,10
shoulder press,6,2025-07-05,15,2,10
pec fly,5,2025-07-05,45,2,10
rear delt,2,2025-07-05,25,2,10
arm curl,5,2025-07-05,14,2,10
dumbell,,2025-07-05,10,2,10
conv chest press,6,2025-07-05,25,2,10
lateral raise,5,2025-07-05,18,2,10
triceps extension,6,2025-07-05,27,2,10
chin asist,,2025-07-05,1000/45,2,10
leg press,3,2025-07-05,39,2,10
lat pulldown,,2025-07-05,32,2,10
conv shoulder press,6,2025-07-05,15,2,10
chest press,6,2025-08-31,25,2,10
seated row,"s 5, c 6",2025-08-31,32,2,10
seated dip,6,2025-08-31,32,2,10
div lat pulldown,,2025-08-31,27,2,10
shoulder press,6,2025-08-31,16,2,10
pec fly,5,2025-08-31,45,2,10
rear delt,2,2025-08-31,32,2,10
arm curl,5,2025-08-31,14,2,10
dumbell,,2025-08-31,10,2,10
conv chest press,6,2025-08-31,25,2,10
lateral raise,5,2025-08-31,20,2,10
triceps extension,6,2025-08-31,29,2,10
chin asist,,2025-08-31,1000/50,2,10
leg press,3,2025-08-31,39,2,10
lat pulldown,,2025-08-31,32,2,10
conv shoulder press,6,2025-08-31,15,2,10
chest press,6,2025-09-02,27,2,10
seated row,"s 5, c 6",2025-09-02,34,2,10
seated dip,6,2025-09-02,36,2,10
div lat pulldown,,2025-09-02,32,2,10
shoulder press,6,2025-09-02,18,2,10
pec fly,5,2025-09-02,45,2,10
rear delt,2,2025-09-02,32,2,10
arm curl,5,2025-09-02,16,2,10
dumbell,,2025-09-02,10,2,10
conv chest press,6,2025-09-02,27,2,10
lateral raise,5,2025-09-02,21,2,10
triceps extension,6,2025-09-02,32,2,10
chin asist,,2025-09-02,1000/50,2,10
leg press,3,2025-09-02,45,2,10
lat pulldown,,2025-09-02,32,2,10
conv shoulder press,6,2025-09-02,15,2,10
chest press,6,2025-09-04,27,2,10
seated row,"s 5, c 6",2025-09-04,34,2,10
seated dip,6,2025-09-04,36,2,10
div lat pulldown,,2025-09-04,32,2,10
shoulder press,6,2025-09-04,19,2,10
pec fly,5,2025-09-04,45,2,10
rear delt,2,2025-09-04,32,2,10
arm curl,5,2025-09-04,16,2,10
dumbell,,2025-09-04,11,2,10
conv chest press,6,2025-09-04,27,2,10
lateral raise,5,2025-09-04,23,2,10
triceps extension,6,2025-09-04,32,2,10
chin asist,,2025-09-04,1000/45,2,10
leg press,3,2025-09-04,45,2,10
lat pulldown,,2025-09-04,32,2,10
conv shoulder press,6,2025-09-04,15,2,10
chest press,6,2025-09-05,29,2,10
seated row,"s 5, c 6",2025-09-05,36,2,10
seated dip,6,2025-09-05,39,2,10
div lat pulldown,,2025-09-05,34,2,10
shoulder press,6,2025-09-05,22,2,10
pec fly,5,2025-09-05,52,2,10
rear delt,2,2025-09-05,39,2,10
arm curl,5,2025-09-05,18,2,10
dumbell,,2025-09-05,13,2,10
conv chest press,6,2025-09-05,29,2,10
lateral raise,5,2025-09-05,25,2,10
triceps extension,6,2025-09-05,36,2,10
chin asist,,2025-09-05,1000/45,2,10
leg press,3,2025-09-05,52,2,10
lat pulldown,,2025-09-05,35,2,10
conv shoulder press,6,2025-09-05,16,2,10
chest press,6,2025-09-07,32,2,10
seated row,"s 5, c 6",2025-09-07,36,2,10
seated dip,6,2025-09-07,41,2,10
div lat pulldown,,2025-09-07,34,2,10
shoulder press,6,2025-09-07,23,2,10
pec fly,5,2025-09-07,52,2,10
rear delt,2,2025-09-07,39,2,10
arm curl,5,2025-09-07,18,2,10
dumbell,,2025-09-07,14,2,10
conv chest press,6,2025-09-07,32,2,10
lateral raise,5,2025-09-07,25,2,10
triceps extension,6,2025-09-07,36,2,10
chin asist,,2025-09-07,1000/45,2,10
leg press,3,2025-09-07,52,2,10
lat pulldown,,2025-09-07,36,2,10
conv shoulder press,6,2025-09-07,16,2,10
chest press,6,2025-09-09,32,2,10
seated row,"s 5, c 6",2025-09-09,36,2,10
seated dip,6,2025-09-09,41,2,10
div lat pulldown,,2025-09-09,35,2,10
shoulder press,6,2025-09-09,23,2,10
pec fly,5,2025-09-09,52,2,10
rear delt,2,2025-09-09,39,2,10
arm curl,5,2025-09-09,18,2,10
dumbell,,2025-09-09,14,2,10
conv chest press,6,2025-09-09,32,2,10
lateral raise,5,2025-09-09,25,2,10
triceps extension,6,2025-09-09,36,2,10
chin asist,,2025-09-09,1000/45,2,10
leg press,3,2025-09-09,52,2,10
lat pulldown,,2025-09-09,36,2,10
conv shoulder press,6,2025-09-09,16,2,10
chest press,6,2025-09-12,32,2,10
seated row,"s 5, c 6",2025-09-12,36,2,10
seated dip,6,2025-09-12,41,2,10
div lat pulldown,,2025-09-12,36,2,10
shoulder press,6,2025-09-12,23,2,10
pec fly,5,2025-09-12,59,2,10
rear delt,2,2025-09-12,39,2,10
arm curl,5,2025-09-12,18,2,10
dumbell,,2025-09-12,13,2,10
conv chest press,6,2025-09-12,32,2,10
lateral raise,5,2025-09-12,25,2,10
triceps extension,6,2025-09-12,38,2,10
chin asist,,2025-09-12,1000/45,2,10
leg press,3,2025-09-12,52,2,10
lat pulldown,,2025-09-12,36,2,10
conv shoulder press,6,2025-09-12,16,2,10
chest press,6,2025-09-14,33,2,10
seated row,"s 5, c 6",2025-09-14,36,2,10
seated dip,6,2025-09-14,43,2,10
div lat pulldown,,2025-09-14,36,2,10
shoulder press,6,2025-09-14,23,2,10
pec fly,5,2025-09-14,59,2,10
rear delt,2,2025-09-14,39,2,10
arm curl,5,2025-09-14,19,2,10
dumbell,,2025-09-14,13,2,10
conv chest press,6,2025-09-14,33,2,10
lateral raise,5,2025-09-14,27,2,10
triceps extension,6,2025-09-14,41,2,10
chin asist,,2025-09-14,1000/45,2,10
leg press,3,2025-09-14,52,2,10
lat pulldown,,2025-09-14,36,2,10
conv shoulder press,6,2025-09-14,16,2,10
chest press,6,2025-09-15,33,2,10
seated row,"s 5, c 6",2025-09-15,36,2,10
seated dip,6,2025-09-15,43,2,10
div lat pulldown,,2025-09-15,36,2,10
shoulder press,6,2025-09-15,23,2,10
pec fly,5,2025-09-15,59,2,10
rear delt,2,2025-09-15,39,2,10
arm curl,5,2025-09-15,19,2,10
dumbell,,2025-09-15,12,2,10
conv chest press,6,2025-09-15,33,2,10
lateral raise,5,2025-09-15,27,2,10
triceps extension,6,2025-09-15,41,2,10
chin asist,,2025-09-15,1000/45,2,10
leg press,3,2025-09-15,52,2,10
lat pulldown,,2025-09-15,36,2,10
conv shoulder press,6,2025-09-15,16,2,10
chest press,6,2025-09-19,34,2,10
seated row,"s 5, c 6",2025-09-19,39,2,10
seated dip,6,2025-09-19,43,2,10
div lat pulldown,,2025-09-19,36,2,10
shoulder press,6,2025-09-19,23,2,10
pec fly,5,2025-09-19,59,2,10
rear delt,2,2025-09-19,39,2,10
arm curl,5,2025-09-19,20,2,10
dumbell,,2025-09-19,12,2,10
conv chest press,6,2025-09-19,34,2,10
